Sample	Unique Reads	Duplicate Reads
T001FX_S219_L001_R1_001	2081877.0	718751.0
T001FX_S219_L002_R1_001	2098914.0	703489.0
T001F_S100_L001_R1_001	2311887.0	924760.0
T001F_S100_L002_R1_001	2337408.0	907750.0
T001G_S112_L001_R1_001	2472842.0	561208.0
T001G_S112_L002_R1_001	2487441.0	558478.0
T002FX_S220_L001_R1_001	2009998.0	568175.0
T002FX_S220_L002_R1_001	2034886.0	559246.0
T002F_S101_L001_R1_001	2513237.0	866727.0
T002F_S101_L002_R1_001	2538416.0	857376.0
T002G_S113_L001_R1_001	1930224.0	384686.0
T002G_S113_L002_R1_001	1941011.0	378867.0
T003FX_S221_L001_R1_001	2407707.0	687004.0
T003FX_S221_L002_R1_001	2437993.0	667937.0
T003F_S102_L001_R1_001	1954270.0	830374.0
T003F_S102_L002_R1_001	1975948.0	814319.0
T003G_S114_L001_R1_001	2235078.0	437710.0
T003G_S114_L002_R1_001	2241327.0	427986.0
T004FX_S222_L001_R1_001	2635849.0	788841.0
T004FX_S222_L002_R1_001	2660112.0	775966.0
T004F_S103_L001_R1_001	1969086.0	735757.0
T004F_S103_L002_R1_001	1982052.0	729480.0
T004G_S115_L001_R1_001	1941627.0	315264.0
T004G_S115_L002_R1_001	1954442.0	305448.0
T005FX_S223_L001_R1_001	2546982.0	775892.0
T005FX_S223_L002_R1_001	2587394.0	756853.0
T005F_S104_L001_R1_001	1711127.0	687127.0
T005F_S104_L002_R1_001	1718010.0	684767.0
T005G_S116_L001_R1_001	2732281.0	479270.0
T005G_S116_L002_R1_001	2753881.0	477202.0
T006FX_S224_L001_R1_001	2804286.0	972105.0
T006FX_S224_L002_R1_001	2850567.0	951081.0
T006F_S105_L001_R1_001	1963368.0	808801.0
T006F_S105_L002_R1_001	1988369.0	794027.0
T006G_S117_L001_R1_001	2674114.0	505588.0
T006G_S117_L002_R1_001	2696701.0	496228.0
T007FX_S225_L001_R1_001	1797007.0	664495.0
T007FX_S225_L002_R1_001	1812679.0	652521.0
T007F_S106_L001_R1_001	2207659.0	958963.0
T007F_S106_L002_R1_001	2220432.0	950257.0
T007G_S118_L001_R1_001	1978890.0	303826.0
T007G_S118_L002_R1_001	1989436.0	296476.0
T008FX_S226_L001_R1_001	1932350.0	600243.0
T008FX_S226_L002_R1_001	1951711.0	595211.0
T008F_S107_L001_R1_001	2539778.0	1069932.0
T008F_S107_L002_R1_001	2567833.0	1056760.0
T008G_S119_L001_R1_001	3119033.0	628918.0
T008G_S119_L002_R1_001	3147182.0	619844.0
T009FX_S227_L001_R1_001	2441045.0	806902.0
T009FX_S227_L002_R1_001	2469158.0	804285.0
T009F_S108_L001_R1_001	2359480.0	864835.0
T009F_S108_L002_R1_001	2385473.0	863270.0
T009G_S120_L001_R1_001	2676769.0	475091.0
T009G_S120_L002_R1_001	2694063.0	470377.0
T010FX_S228_L001_R1_001	2002352.0	575900.0
T010FX_S228_L002_R1_001	2020753.0	568904.0
T010F_S109_L001_R1_001	2231910.0	845694.0
T010F_S109_L002_R1_001	2248988.0	836249.0
T010G_S121_L001_R1_001	2286758.0	391764.0
T010G_S121_L002_R1_001	2297910.0	385631.0
T011FX_S229_L001_R1_001	2203415.0	621057.0
T011FX_S229_L002_R1_001	2218404.0	616409.0
T011F_S110_L001_R1_001	1915046.0	593172.0
T011F_S110_L002_R1_001	1934490.0	586026.0
T011G_S122_L001_R1_001	2327405.0	383076.0
T011G_S122_L002_R1_001	2343639.0	377023.0
T012FX_S230_L001_R1_001	2530810.0	715212.0
T012FX_S230_L002_R1_001	2549915.0	718798.0
T012F_S111_L001_R1_001	2708927.0	895989.0
T012F_S111_L002_R1_001	2746705.0	885866.0
T012G_S123_L001_R1_001	2076988.0	347024.0
T012G_S123_L002_R1_001	2084910.0	342547.0
T014F_S171_L001_R1_001	2411405.0	829045.0
T014F_S171_L002_R1_001	2435525.0	801469.0
T014G_S183_L001_R1_001	2340074.0	423666.0
T014G_S183_L002_R1_001	2343897.0	421791.0
T015F_S172_L001_R1_001	2870439.0	912980.0
T015F_S172_L002_R1_001	2906478.0	900956.0
T015G_S184_L001_R1_001	2445491.0	469934.0
T015G_S184_L002_R1_001	2460015.0	460114.0
T016F_S173_L001_R1_001	2359081.0	778037.0
T016F_S173_L002_R1_001	2386493.0	779654.0
T016G_S185_L001_R1_001	2191792.0	366719.0
T016G_S185_L002_R1_001	2202818.0	355572.0
T017F_S174_L001_R1_001	2301141.0	625344.0
T017F_S174_L002_R1_001	2316408.0	617449.0
T017G_S186_L001_R1_001	2145867.0	360137.0
T017G_S186_L002_R1_001	2144993.0	357454.0
T019F_S175_L001_R1_001	2693117.0	775706.0
T019F_S175_L002_R1_001	2729716.0	760451.0
T019G_S187_L001_R1_001	2160884.0	367683.0
T019G_S187_L002_R1_001	2171547.0	366312.0
T021F_S176_L001_R1_001	2460553.0	570668.0
T021F_S176_L002_R1_001	2487937.0	567845.0
T021G_S188_L001_R1_001	2387911.0	354444.0
T021G_S188_L002_R1_001	2400963.0	351004.0
T023F_S177_L001_R1_001	2724393.0	755765.0
T023F_S177_L002_R1_001	2743418.0	752693.0
T023G_S189_L001_R1_001	2229096.0	383677.0
T023G_S189_L002_R1_001	2233971.0	379026.0
T025F_S178_L001_R1_001	2205947.0	481810.0
T025F_S178_L002_R1_001	2220779.0	474673.0
