"...1" "sample.1" "tissue" "treatment" "day"
"T001F" "T001F" "F" "control" 0
"T002F" "T002F" "F" "control" 0
"T003F" "T003F" "F" "control" 0
"T004F" "T004F" "F" "control" 0
"T005F" "T005F" "F" "control" 0
"T006F" "T006F" "F" "control" 0
"T007F" "T007F" "F" "control" 0
"T008F" "T008F" "F" "control" 0
"T009F" "T009F" "F" "control" 0
"T010F" "T010F" "F" "control" 0
"T011F" "T011F" "F" "control" 0
"T012F" "T012F" "F" "control" 0
"T014F" "T014F" "F" "OA" 3
"T015F" "T015F" "F" "OA" 3
"T016F" "T016F" "F" "OA" 3
"T017F" "T017F" "F" "OA" 3
"T019F" "T019F" "F" "OA" 3
"T021F" "T021F" "F" "OA" 3
"T023F" "T023F" "F" "OA" 3
"T025F" "T025F" "F" "OA" 3
"T026F" "T026F" "F" "OA" 3
"T027F" "T027F" "F" "OA" 3
"T029F" "T029F" "F" "OW" 3
"T030F" "T030F" "F" "OW" 3
"T031F" "T031F" "F" "OW" 3
"T033F" "T033F" "F" "OW" 3
"T034F" "T034F" "F" "OW" 3
"T035F" "T035F" "F" "OW" 3
"T036F" "T036F" "F" "OW" 3
"T037F" "T037F" "F" "OW" 3
"T038F" "T038F" "F" "OW" 3
"T039F" "T039F" "F" "OW" 3
"T040F" "T040F" "F" "OW" 3
"T041F" "T041F" "F" "OW" 3
"T046F" "T046F" "F" "DO" 3
"T049F" "T049F" "F" "DO" 3
"T052F" "T052F" "F" "DO" 3
"T055F" "T055F" "F" "DO" 3
"T056F" "T056F" "F" "DO" 3
"T057F" "T057F" "F" "DO" 3
"T058F" "T058F" "F" "DO" 3
"T110F" "T110F" "F" "DO" 3
"T111F" "T111F" "F" "DO" 3
"T112F" "T112F" "F" "DO" 3
"T118F" "T118F" "F" "OA" 3
"T119F" "T119F" "F" "OA" 3
"T126F" "T126F" "F" "control" 3
"T127F" "T127F" "F" "control" 3
"T128F" "T128F" "F" "control" 3
"T129F" "T129F" "F" "control" 3
"T130F" "T130F" "F" "control" 3
"T131F" "T131F" "F" "control" 3
"T132F" "T132F" "F" "control" 3
"T133F" "T133F" "F" "control" 3
"T134F" "T134F" "F" "control" 3
"T135F" "T135F" "F" "control" 3
"T136F" "T136F" "F" "control" 3
"T137F" "T137F" "F" "control" 3
